caller_id,enqueued_at_ms,accept_received_at_ms,ring_emitted_at_ms,dequeue_latency_ms,total_wait_ms,operator_id,status
1778646501.251,1778646501672,1778646520989,1778646520991,2,19319,op-001,ring
1778646501.253,1778646501769,1778646521090,1778646521092,2,19323,op-002,ring
1778646501.255,1778646501869,1778646521194,1778646521198,4,19329,op-003,ring
1778646501.257,1778646501967,1778646521296,1778646521299,3,19332,op-004,ring
1778646501.259,1778646502073,1778646521397,1778646521402,5,19329,op-005,ring
1778646501.261,1778646502175,1778646521497,1778646521501,4,19326,op-006,ring
1778646501.263,1778646502270,1778646521599,1778646521603,4,19333,op-007,ring
1778646501.265,1778646502371,1778646521700,1778646521705,5,19334,op-008,ring
1778646501.267,1778646502469,1778646521800,1778646521806,6,19337,op-009,ring
1778646502.269,1778646502570,1778646521901,1778646521906,5,19336,op-000,ring
1778646502.271,1778646502685,1778646522005,1778646522007,2,19322,op-001,ring
1778646502.273,1778646502771,1778646522104,1778646522108,4,19337,op-002,ring
1778646502.275,1778646502873,1778646522205,1778646522209,4,19336,op-003,ring
1778646502.277,1778646502973,1778646522306,1778646522310,4,19337,op-004,ring
1778646502.279,1778646503070,1778646522407,1778646522411,4,19341,op-005,ring
1778646502.281,1778646503187,1778646522508,1778646522513,5,19326,op-006,ring
1778646502.283,1778646503270,1778646522609,1778646522614,5,19344,op-007,ring
1778646502.285,1778646503369,1778646522710,1778646522714,4,19345,op-008,ring
1778646502.287,1778646503472,1778646522812,1778646522817,5,19345,op-009,ring
1778646503.289,1778646503571,1778646522916,1778646522920,4,19349,op-000,ring
1778646503.291,1778646503668,1778646523016,1778646523020,4,19352,op-001,ring
1778646503.293,1778646503767,1778646523119,1778646523123,4,19356,op-002,ring
1778646503.295,1778646503870,1778646523219,1778646523224,5,19354,op-003,ring
1778646503.297,1778646503968,1778646523321,1778646523325,4,19357,op-004,ring
1778646503.299,1778646504065,1778646523424,1778646523431,7,19366,op-005,ring
1778646503.301,1778646504167,1778646523525,1778646523529,4,19362,op-006,ring
1778646503.303,1778646504268,1778646523628,1778646523632,4,19364,op-007,ring
1778646503.305,1778646504374,1778646523729,1778646523734,5,19360,op-008,ring
1778646503.307,1778646504469,1778646523832,1778646523837,5,19368,op-009,ring
1778646504.309,1778646504566,1778646523933,1778646523937,4,19371,op-000,ring
1778646504.311,1778646504668,1778646524036,1778646524040,4,19372,op-001,ring
1778646504.313,1778646504771,1778646524137,1778646524142,5,19371,op-002,ring
1778646504.315,1778646504884,1778646524239,1778646524245,6,19361,op-003,ring
1778646504.317,1778646504971,1778646524342,1778646524346,4,19375,op-004,ring
1778646504.319,1778646505083,1778646524445,1778646524449,4,19366,op-005,ring
1778646504.321,1778646505171,1778646524546,1778646524556,10,19385,op-006,ring
1778646504.323,1778646505271,1778646524648,1778646524652,4,19381,op-007,ring
1778646504.325,1778646505372,1778646524749,1778646524762,13,19390,op-008,ring
1778646504.327,1778646505472,1778646524849,1778646524854,5,19382,op-009,ring
1778646505.329,1778646505589,1778646524951,1778646524956,5,19367,op-000,ring
1778646505.331,1778646505669,1778646525053,1778646525057,4,19388,op-001,ring
1778646505.333,1778646505775,1778646525157,1778646525162,5,19387,op-002,ring
1778646505.335,1778646505871,1778646525261,1778646525264,3,19393,op-003,ring
1778646505.337,1778646505968,1778646525360,1778646525366,6,19398,op-004,ring
1778646505.339,1778646506072,1778646525471,1778646525476,5,19404,op-005,ring
1778646505.341,1778646506170,1778646525572,1778646525576,4,19406,op-006,ring
1778646505.343,1778646506269,1778646525673,1778646525676,3,19407,op-007,ring
1778646505.345,1778646506370,1778646525776,1778646525778,2,19408,op-008,ring
1778646505.347,1778646506470,1778646525876,1778646525878,2,19408,op-009,ring
1778646506.349,1778646506573,1778646525976,1778646525978,2,19405,op-000,ring
1778646506.351,1778646506672,1778646526077,1778646526079,2,19407,op-001,ring
1778646506.353,1778646506770,1778646526181,1778646526184,3,19414,op-002,ring
1778646506.355,1778646506870,1778646526281,1778646526283,2,19413,op-003,ring
1778646506.357,1778646506971,1778646526382,1778646526386,4,19415,op-004,ring
1778646506.359,1778646507070,1778646526484,1778646526486,2,19416,op-005,ring
1778646506.361,1778646507168,1778646526586,1778646526589,3,19421,op-006,ring
1778646506.363,1778646507268,1778646526688,1778646526692,4,19424,op-007,ring
1778646506.365,1778646507367,1778646526789,1778646526794,5,19427,op-008,ring
